"station"	"variable"	"technique"	"periodicity"	"date"	"hour"	"value"	"valid"
"28799901"	38	2	2	2016-07-11	0	5	TRUE
"28799906"	48	2	2	2016-07-11	0	0.3	TRUE
"28799907"	8	2	2	2016-07-11	0	6	TRUE
"28799908"	8	2	2	2016-07-11	0	45	TRUE
"28799909"	47	2	2	2016-07-11	0	17	TRUE
"28799910"	47	2	2	2016-07-11	0	26	TRUE
"28799912"	8	2	2	2016-07-11	0	54	TRUE
"28799914"	6	2	2	2016-07-11	0	65	TRUE
"28799920"	59	2	2	2016-07-11	0	2.2	TRUE
"28799930"	59	2	2	2016-07-11	0	0.6	TRUE
"28799935"	59	2	2	2016-07-11	0	0.3	TRUE
"28799942"	2	2	2	2016-07-11	0	1.32	TRUE
"28799943"	2	2	2	2016-07-11	0	1.22	TRUE
"28799944"	2	2	2	2016-07-11	0	0.11	TRUE
"28799980"	98	2	2	2016-07-11	0	1	TRUE
"28799981"	98	2	2	2016-07-11	0	0.77	TRUE
"28799982"	98	2	2	2016-07-11	0	181	TRUE
"28799983"	98	2	2	2016-07-11	0	29.8	TRUE
"28799986"	98	2	2	2016-07-11	0	39	TRUE
"28799987"	98	2	2	2016-07-11	0	931	TRUE
"28799988"	98	2	2	2016-07-11	0	12	TRUE
"28799989"	98	2	2	2016-07-11	0	0	TRUE
"28790401"	38	2	2	2016-07-11	0	6	TRUE
"28790406"	48	2	2	2016-07-11	0	0.3	TRUE
"28790407"	8	2	2	2016-07-11	0	7	TRUE
"28790408"	8	2	2	2016-07-11	0	58	TRUE
"28790412"	8	2	2	2016-07-11	0	69	TRUE
"28790481"	98	2	2	2016-07-11	0	0.1	TRUE
"28790482"	98	2	2	2016-07-11	0	197	TRUE
"28790483"	98	2	2	2016-07-11	0	24.4	TRUE
"28790486"	98	2	2	2016-07-11	0	52	TRUE
"28790489"	98	2	2	2016-07-11	0	0	TRUE
"28790801"	38	2	2	2016-07-11	0	12	TRUE
"28790806"	48	2	2	2016-07-11	0	0.3	TRUE
"28790807"	8	2	2	2016-07-11	0	3	TRUE
"28790808"	8	2	2	2016-07-11	0	52	TRUE
"28790809"	47	2	2	2016-07-11	0	17	TRUE
"28790810"	47	2	2	2016-07-11	0	26	TRUE
"28790812"	8	2	2	2016-07-11	0	56	TRUE
"28790814"	6	2	2	2016-07-11	0	63	TRUE
"28790820"	59	2	2	2016-07-11	0	1.8	TRUE
"28790830"	59	2	2	2016-07-11	0	0.5	TRUE
"28790835"	59	2	2	2016-07-11	0	0.2	TRUE
"28790842"	2	2	2	2016-07-11	0	1.48	TRUE
"28790843"	2	2	2	2016-07-11	0	1.34	TRUE
"28790844"	2	2	2	2016-07-11	0	0.13	TRUE
"28791107"	8	2	2	2016-07-11	0	10	TRUE
"28791108"	8	2	2	2016-07-11	0	52	TRUE
"28791112"	8	2	2	2016-07-11	0	68	TRUE
"28791120"	59	2	2	2016-07-11	0	5.7	TRUE
"28791130"	59	2	2	2016-07-11	0	2	TRUE
"28791135"	59	2	2	2016-07-11	0	0.9	TRUE
"28791189"	98	2	2	2016-07-11	0	0	TRUE
"28791606"	48	2	2	2016-07-11	0	0.3	TRUE
"28791607"	8	2	2	2016-07-11	0	3	TRUE
"28791608"	8	2	2	2016-07-11	0	40	TRUE
"28791612"	8	2	2	2016-07-11	0	43	TRUE
"28791614"	6	2	2	2016-07-11	0	64	TRUE
"28791689"	98	2	2	2016-07-11	0	0	TRUE
"28791701"	38	2	2	2016-07-11	0	9	TRUE
"28791707"	8	2	2	2016-07-11	0	8	TRUE
"28791708"	8	2	2	2016-07-11	0	35	TRUE
"28791712"	8	2	2	2016-07-11	0	48	TRUE
"28791714"	6	2	2	2016-07-11	0	62	TRUE
"28791801"	38	2	2	2016-07-11	0	3	TRUE
"28791806"	48	2	2	2016-07-11	0	0.2	TRUE
"28791807"	8	2	2	2016-07-11	0	1	TRUE
"28791808"	8	2	2	2016-07-11	0	28	TRUE
"28791810"	47	2	2	2016-07-11	0	27	TRUE
"28791812"	8	2	2	2016-07-11	0	30	TRUE
"28791814"	6	2	2	2016-07-11	0	68	TRUE
"28791820"	59	2	2	2016-07-11	0	1	TRUE
"28791830"	59	2	2	2016-07-11	0	0.2	TRUE
"28791835"	59	2	2	2016-07-11	0	0.1	TRUE
"28791883"	98	2	2	2016-07-11	0	28.6	TRUE
"28791889"	98	2	2	2016-07-11	0	0	TRUE
"28792401"	38	2	2	2016-07-11	0	2	TRUE
"28792406"	48	2	2	2016-07-11	0	0.2	TRUE
"28792407"	8	2	2	2016-07-11	0	1	TRUE
"28792408"	8	2	2	2016-07-11	0	12	TRUE
"28792409"	47	2	2	2016-07-11	0	14	TRUE
"28792410"	47	2	2	2016-07-11	0	22	TRUE
"28792412"	8	2	2	2016-07-11	0	13	TRUE
"28792414"	6	2	2	2016-07-11	0	82	TRUE
"28792420"	59	2	2	2016-07-11	0	0.5	TRUE
"28792430"	59	2	2	2016-07-11	0	0.1	TRUE
"28792435"	59	2	2	2016-07-11	0	0.1	TRUE
"28792442"	2	2	2	2016-07-11	0	1.17	TRUE
"28792443"	2	2	2	2016-07-11	0	1.13	TRUE
"28792444"	2	2	2	2016-07-11	0	0.04	TRUE
"28792480"	98	2	2	2016-07-11	0	1	TRUE
"28792481"	98	2	2	2016-07-11	0	1.7	TRUE
"28792482"	98	2	2	2016-07-11	0	284	TRUE
"28792483"	98	2	2	2016-07-11	0	30	TRUE
"28792486"	98	2	2	2016-07-11	0	38	TRUE
"28792487"	98	2	2	2016-07-11	0	940	TRUE
"28792488"	98	2	2	2016-07-11	0	1	TRUE
"28792489"	98	2	2	2016-07-11	0	0	TRUE
"28792707"	8	2	2	2016-07-11	0	35	TRUE
"28792708"	8	2	2	2016-07-11	0	114	TRUE
"28792712"	8	2	2	2016-07-11	0	168	TRUE
"28792714"	6	2	2	2016-07-11	0	11	TRUE
"28793501"	38	2	2	2016-07-11	0	8	TRUE
"28793506"	48	2	2	2016-07-11	0	0.3	TRUE
"28793507"	8	2	2	2016-07-11	0	9	TRUE
"28793508"	8	2	2	2016-07-11	0	59	TRUE
"28793512"	8	2	2	2016-07-11	0	72	TRUE
"28793514"	6	2	2	2016-07-11	0	53	TRUE
"28793601"	38	2	2	2016-07-11	0	6	TRUE
"28793606"	48	2	2	2016-07-11	0	0.2	TRUE
"28793607"	8	2	2	2016-07-11	0	1	TRUE
"28793608"	8	2	2	2016-07-11	0	39	TRUE
"28793610"	47	2	2	2016-07-11	0	26	TRUE
"28793612"	8	2	2	2016-07-11	0	41	TRUE
"28793689"	98	2	2	2016-07-11	0	0	TRUE
"28793801"	38	2	2	2016-07-11	0	1	TRUE
"28793807"	8	2	2	2016-07-11	0	12	TRUE
"28793808"	8	2	2	2016-07-11	0	44	TRUE
"28793809"	47	2	2	2016-07-11	0	17	TRUE
