station.id	station.name	station.address	altitude	station.type 
28079004	Pza. de España	Plaza de España	635	UT
28079008	Escuelas Aguirre	Entre C/ Alcalá y C/ O’ Donell 	670	UT
28079011	Avda. Ramón y Cajal	Avda. Ramón y Cajal  esq. C/ Príncipe de Vergara	708	UT
28079016	Arturo Soria	C/ Arturo Soria  esq. C/  Vizconde de los Asilos 	693	UF
28079017	Villaverde	C/. Juan Peñalver	604	UF
28079018	Farolillo	Calle Farolillo - C/Ervigio	630	UF
28079024	Casa de Campo	Casa de Campo  (Terminal del Teleférico)	642	S
28079027	Barajas Pueblo	C/. Júpiter, 21 (Barajas) 	621	UF
28079035	Pza. del Carmen	Plaza del Carmen esq. Tres Cruces. 	659	UF
28079036	Moratalaz	Avd. Moratalaz  esq. Camino de los Vinateros	685	UT
28079038	Cuatro Caminos	Avda. Pablo Iglesias esq. C/ Marqués de Lema	698	UT
28079039	Barrio del Pilar	Avd. Betanzos esq. C/  Monforte de Lemos 	674	UT
28079040	Vallecas	C/ Arroyo del Olivar  esq. C/  Río Grande. 	677	UF
28079047	Mendez Alvaro	C/ Juan de Mariana / Pza. Amanecer Mendez Alvaro	599	UF
28079048	Castellana	C/ Jose Gutierrez Abascal	676	UT
28079049	Parque del Retiro	Paseo Venezuela- Casa de Vacas	662	UF
28079050	Plaza Castilla	Plaza Castilla (Canal)	728	UT
28079054	Ensanche de Vallecas	Avda La Gavia / Avda. Las Suertes	627	UF
28079055	Urb. Embajada	C/ Riaño (Barajas) 	618	UF
28079056	Pza. Fernández Ladreda	 Pza. Fernández Ladreda - Avda. Oporto	604	UT
28079057	Sanchinarro	C/ Princesa de Eboli esq C/ Maria Tudor	700	UF
28079058	El Pardo	Avda. La Guardia	615	S
28079059	Juan Carlos I	Parque Juan Carlos I (frente oficinas mantenimiento)	660	S
28079060	Tres Olivos	Plaza Tres Olivos 	715	UF
